2025-08-22 11:27:03,121 | INFO |   写出: xyz_output\feet\037_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,143 | INFO |   写出: xyz_output\feet\038_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,163 | INFO |   写出: xyz_output\feet\038_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,181 | INFO |   写出: xyz_output\feet\039_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,203 | INFO |   写出: xyz_output\feet\039_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,221 | INFO |   写出: xyz_output\feet\040_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,245 | INFO |   写出: xyz_output\feet\040_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,273 | INFO |   写出: xyz_output\feet\041_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,293 | INFO |   写出: xyz_output\feet\041_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,313 | INFO |   写出: xyz_output\feet\042_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,332 | INFO |   写出: xyz_output\feet\042_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,350 | INFO |   写出: xyz_output\feet\043_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,367 | INFO |   写出: xyz_output\feet\043_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,385 | INFO |   写出: xyz_output\feet\044_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,403 | INFO |   写出: xyz_output\feet\044_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,423 | INFO |   写出: xyz_output\feet\045_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,441 | INFO |   写出: xyz_output\feet\045_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,460 | INFO |   写出: xyz_output\feet\046_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,477 | INFO |   写出: xyz_output\feet\046_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,493 | INFO |   写出: xyz_output\feet\047_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,513 | INFO |   写出: xyz_output\feet\047_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,530 | INFO |   写出: xyz_output\feet\048_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,547 | INFO |   写出: xyz_output\feet\048_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,564 | INFO |   写出: xyz_output\feet\049_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,582 | INFO |   写出: xyz_output\feet\049_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,601 | INFO |   写出: xyz_output\feet\050_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,618 | INFO |   写出: xyz_output\feet\050_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,636 | INFO |   写出: xyz_output\feet\051_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,655 | INFO |   写出: xyz_output\feet\051_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,673 | INFO |   写出: xyz_output\feet\052_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,690 | INFO |   写出: xyz_output\feet\052_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,707 | INFO |   写出: xyz_output\feet\053_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,726 | INFO |   写出: xyz_output\feet\053_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,748 | INFO |   写出: xyz_output\feet\054_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,768 | INFO |   写出: xyz_output\feet\054_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,787 | INFO |   写出: xyz_output\feet\055_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,807 | INFO |   写出: xyz_output\feet\055_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,827 | INFO |   写出: xyz_output\feet\056_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,849 | INFO |   写出: xyz_output\feet\056_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,874 | INFO |   写出: xyz_output\feet\057_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,896 | INFO |   写出: xyz_output\feet\057_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,915 | INFO |   写出: xyz_output\feet\058_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,935 | INFO |   写出: xyz_output\feet\058_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,953 | INFO |   写出: xyz_output\feet\059_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,974 | INFO |   写出: xyz_output\feet\059_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:03,995 | INFO |   写出: xyz_output\feet\060_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,016 | INFO |   写出: xyz_output\feet\060_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,036 | INFO |   写出: xyz_output\feet\061_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,059 | INFO |   写出: xyz_output\feet\061_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,083 | INFO |   写出: xyz_output\feet\062_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,103 | INFO |   写出: xyz_output\feet\062_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,123 | INFO |   写出: xyz_output\feet\063_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,141 | INFO |   写出: xyz_output\feet\063_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,161 | INFO |   写出: xyz_output\feet\064_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,178 | INFO |   写出: xyz_output\feet\064_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,194 | INFO |   写出: xyz_output\feet\065_foot_L.xyz | 点数=4096 | 含法向量
